item-id,manual-phenomena,auto-tokenize,auto-count-words,auto-pos,notes
I001,"[“determiner usage”, “omitted”]","“['Sono', 'vestiti', 'vecchi', '10', 'anni', ',', 'quindi', 'le', 'uso', 'per', 'barca']”",10,,
I002,"[“determiner usage”, “mistake”]","“['Chiamo', 'il', 'uomo', 'della', 'allergologia']”",5,,
I003,"[“determiner usage”, “ipercorrected”, “omitted”]","“['Faccio', 'i', 'piani', 'in', 'my', 'mind', 'per', 'mandare', 'curricula']”",9,,Uso della linga inglese per sopperire alla macanza lessicale 
I004,"[“determiner usage”, “omitted”, “omitted”]","“['Devo', 'prendere', 'NP', 'di', 'altra', 'città', 'quando', 'viene', 'con', 'autobus']”",10,,
I005,"[“determiner usage”, “omitted”]","“['Facciamo', 'adesso', 'altro', 'piano', 'va', 'bene', '?']”",6,,
I006,"[“determiner usage”, “omitted”]","“['Non', 'funziona', 'proprio', 'così', 'che', 'quando', 'sei', 'triste', 'puoi', 'scusarti', 'di', 'tutte', 'cose']”",13,,
I007,"[“determiner usage”, “ipercorrected”]","“['Come', 'tu', 'hai', 'detto', 'al', 'tuo', 'padre', 'quando', 'ti', 'ha', 'chiesto']”",11,,
I008,"[“determiner usage”, “mistake”]","“['Lo', 'so', 'che', 'non', 'era', 'bell', 'giorno']”",7,,
I009,"[“determiner usage”, “ipercorrected”]","“['È', 'lo', 'stesso', 'nel', 'tutto', 'il', 'mondo']”",7,,
I010,"[“determiner usage”, “mistake”]","“['Lo', 'primo', 'nella', 'rivista']”",4,,
I011,"[“determiner usage”, “omitted”]","“['Guarda', 'chi', 'è', 'autore']”",4,,
I012,"[“determiner usage”, “omitted”]","“['Sono', 'seduta', 'next', 'to', 'a', 'grande', 'ciccione']”",7,,Uso della linga inglese per sopperire alla macanza lessicale 
I013,[“syntax”],"“['Anch’io', 'scusa']”",3,,calco dal ceco taky promi?
I014,[“syntax”],"“['Anch’io', 'grazie']”",3,,calco dal ceco taky d?kuji/dÃ­ky
