item-id,manual-phenomena,auto-tokenize,auto-pos,notes
I001,"[ìdeterminer usageî, ìomittedî]",,,
I002,"[ìdeterminer usageî, ìmistakeî]",,,
I003,"[ìdeterminer usageî, ìipercorrectedî, ìomittedî]",,,Uso della linga inglese per sopperire alla macanza lessicale 
I004,"[ìdeterminer usageî, ìomittedî, ìomittedî]",,,
I005,"[ìdeterminer usageî, ìomittedî]",,,
I006,"[ìdeterminer usageî, ìomittedî]",,,
I007,"[ìdeterminer usageî, ìipercorrectedî]",,,
I008,"[ìdeterminer usageî, ìmistakeî]",,,
I009,"[ìdeterminer usageî, ìipercorrectedî]",,,
I010,"[ìdeterminer usageî, ìmistakeî]",,,
I011,"[ìdeterminer usageî, ìomittedî]",,,
I012,"[ìdeterminer usageî, ìomittedî]",,,Uso della linga inglese per sopperire alla macanza lessicale 
I013,[ìsyntaxî],,,calco dal ceco taky promi?
I014,[ìsyntaxî],,,calco dal ceco taky d?kuji/d√≠ky
I015,"[ìdeterminer usageî, ìmistakeî]",,,
I016,"[ìdeterminer usageî, ìomittedî]",,,
I017,[ìword orderî],,,posizione dell‚Äô ‚Äúanche‚Äù anteposto al verbo
I018,[ìword orderî],,,posizione dell‚Äô ‚Äúanche‚Äù anteposto al verbo
I019,"[ìdeterminer usageî, ìomittedî]",,,
I020,"[ìdeterminer usageî, ìomittedî]",,,
I021,"[ìdeterminer usageî, ìipercorrectedî, ìmistakeî]",,,
I022,"[ìdeterminer usageî, ìipercorrectedî]",,,
I023,"[ìomittedî, îmistake, ìipercorrectedî]",,,
I024,"[ìverbal morphologyî, ìtu-leiî]",,,"Frase corretta, da confrontare diacronicamente con le due successive (scorrette)"
I025,"[ìverbal morphologyî, ìtu-leiî]",,,
I026,"[ìverbal morphologyî, ìtu-leiî]",,,
I027,"[ìverbal morphologyî, ìtu-leiî]",,,
I028,"[ìverbal morphologyî, ìtu-leiî]",,,
I029,[ìword orderî],,,posizione del ‚Äúsempre‚Äù anteposto al verbo
I030,,,,
I031,,,,
I032,,,,
I033,,,,
I034,,,,
I035,,,,
I036,,,,
I037,,,,
I038,,,,
I039,,,,
I040,,,,
I041,,,,
I042,,,,
I043,,,,
I044,,,,
